pa_pe_section_noname_flag,pa_pe_apicount_synchronization,pa_pe_apicount_dataexchange,pa_pe_apicount_file,pa_pe_apicount_reckoning,pa_pe_apicount_memory,pa_pe_apicount_execution,pa_pe_apicount_console,pa_pe_apicount_diagnostic,pa_pe_apicount_dynamiclibrary,pa_pe_apicount_storage,pa_pe_apicount_resource,pa_pe_apicount_windowing,pa_pe_apicount_network,pa_pe_apicount_security,pa_pe_apicount_registry,pa_pe_apicount_services,pa_pe_apicount_rdp,pa_pe_apicount_cryptography,md5,sha1,sha256,file_name,file_type,mime_type,file_size,av_detection_a,av_detection_b,av_detection_c,av_detection_d,pe_header_fileinfo_item_number,pe_header_timestamp,pe_header_api_import_number,pe_header_sectionsize_text,entropy_section_text,pe_header_sectionsize_data,entropy_section_data,pe_header_sectionsize_bss,entropy_section_rdata,entropy_section_reloc,entropy_section_rsrc,pe_header_section_md5,pe_header_sectionsize_second,pa_pe_section_notregular,pa_pe_section_regular,pe_header_flag_debug,pe_header_resource_languagecount_ENGLISH US,pe_header_resource_languagecount_NEUTRAL,pe_resourcecount_cursor,pa_pe_binarycontained,pe_resourcecount_icon,pe_resourcecount_rcdata,pe_resourcecount_string,pe_resourcecount_group_cursor,pe_resourcecount_group_icon,pe_header_size,pe_header_sectionsize_export,pe_header_sectionsize_import,pe_header_sectionsize_resource,pe_header_section_number,pe_header_baseofdata,pe_header_checksum,pe_header_dll_importnumber,pe_header_emaxalloc,pe_header_ecblp,pe_header_ecp,pe_header_ecparhdr,pe_header_elfanew,pe_header_esp,pe_header_entrypoint,pe_header_filealignment,pe_header_iat_rva,pe_header_fileversion,pe_header_flag_cfg,pe_header_flag_dep,pe_header_flag_image_dll_characteristics_appcontainer,pe_header_flag_image_dll_characteristics_high_entropy_va,pe_header_flag_image_dllcharacteristics_dynamic_base,pe_header_flag_image_dllcharacteristics_force_integrity,pe_header_flag_image_dllcharacteristics_no_bind,pe_header_flag_image_dllcharacteristics_no_isolation,pe_header_flag_image_dllcharacteristics_no_seh,pe_header_flag_image_dllcharacteristics_terminal_server_aware,pe_header_flag_image_dllcharacteristics_wdm_driver,pe_header_flag_image_file_32bit_machine,pe_header_flag_image_file_debug_stripped,pe_header_flag_image_file_dll,pe_header_flag_image_file_executable_image,pe_header_flag_image_file_large_address_aware,pe_header_flag_image_file_line_nums_stripped,pe_header_flag_image_file_local_syms_stripped,pe_header_flag_image_file_net_run_from_swap,pe_header_flag_image_file_relocs_stripped,pe_header_flag_image_file_removable_run_from_swap,pe_header_flag_image_file_system,pe_header_flag_image_file_up_system_only,pe_header_loaderflags,pe_header_majorOSversion,pe_header_minorOSversion,pe_header_reloc_item_number,pe_header_data_item_number,pe_header_sectionalignment,pe_header_sizeofheaders,pe_header_sizeofheapcommit,pe_header_sizeofheapreserve,pe_header_sizeofimage,pe_header_sizeofstackcommit,pe_header_sizeofstackreserve,label
0,1,0,4,1,0,2,0,0,2,0,0,3,2,2,3,0,0,0,9c6d71c2f18b7f8cc1140826e2351a70,6efc8d06b38a6d82610401098827677f3b9d8214,4ba388c519d79445c2cae916ff97428d577b2224c50c2671ad8309893c659876,Gather-1.32.0-Setup.exe,None,None,121818184,None,None,None,None,1,1544912774,165,26624,6.450282348506287,1536,4.037117731448378,None,5.025178929113415,None,7.175638326274223,7618d4c0cd8bb67ea9595b4266b3a91f,5632,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,5,None,121857767,7,None,None,None,None,None,None,13199,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,4,0,0,16,4096,1024,4096,1048576,1748992,4096,1048576,normal
0,1,0,4,3,2,3,0,1,3,0,1,1,2,0,3,0,0,0,ec35aae4930dd92c6a14d299de9e1ad2,bd00d766dcf10db3aa4fcf13432e04edd0fb737a,bbbad12fa01ea9016ba0dfcbfe414182586fcb862f4bebb7a456fa5acd330ad8,Uninstall.exe,None,None,412368,None,None,None,None,1,1753694755,172,209408,6.450441190881266,5632,3.5243197381234075,None,5.377919364004834,5.046768911331535,7.315814435077867,798859d5f4d75610e1ac1ac58c6d92e6,83968,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,7,None,445996,7,None,None,None,None,None,None,95760,512,None,None,16384,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6,0,12,16,4096,1024,4096,1048576,458752,4096,1048576,normal
0,2,3,8,3,4,1,0,1,4,0,3,0,1,0,3,0,0,1,47db23420be3a7ac30b9bae1cbc8151a,e468898780e1daef296b13fbd1c73abc7d93e8d4,23e1952565c181913908da1e85ee67c6a0af1482d4ec3ebaaf71f686392c8e1d,vbc.exe,None,None,1722976,None,None,None,None,1,1717218615,295,1404416,6.530089469021472,47616,2.3668544011257953,None,None,6.6367226968957125,3.407156255751166,5453ae34d2a838390c07c894129a28b6,47616,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,4,None,1738890,10,None,None,None,None,None,None,580142,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,5,0,345,16,4096,1024,4096,1048576,1724416,8192,1048576,normal
0,3,0,6,2,3,1,0,1,4,0,4,0,0,0,5,0,0,0,517998f19302ecb608dabe9c5172a996,6cff5d2f78dd9bad5ae5633285924cc8f12d05dc,c259d434415d7ad1cde4c11c4bf91643cb53a0a16ef26d038001b55cc56c9928,WpsMigrator.exe,None,None,592952,None,None,None,None,1,1721663841,196,401408,6.472164190771126,12288,4.276071915314523,None,5.150133555012144,5.263286105360611,4.673041523673766,91cb3c7d120b3cfa0676ccd9baa44e93,134656,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,8,None,597960,39,None,None,None,None,None,None,154160,512,None,None,16384,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6,0,18,16,4096,1024,4096,1048576,598016,4096,1048576,normal
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92f5b37caf68d54e3561527dd105428b,9b667aa63af5a6e86be664282e6250705487e888,49279441e70ad6e2912a796ae7955f50cd4fbf3df0a7e63cfeeb36216745bb94,wirelessnetconsole.exe,None,None,19968,None,None,None,None,1,1225537738,6,None,None,None,None,None,None,None,4.074386023603941,d41d8cd98f00b204e9800998ecf8427e,13312,0,1,None,None,None,None,None,None,None,None,None,None,4096,None,None,None,3,None,0,3,None,None,None,None,None,None,49520,512,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,4,0,0,16,4096,4096,4096,1048576,61440,4096,1048576,normal
0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,19bc2bb12721786414e15302e2f27f66,98e36ebd0c962996078b6b7bd0a86cb24ed2e5c6,74ecd732388519689bcc49e8faaecaba8c7244d04851b1db5611f4c420a66ead,Audiov.exe,None,None,2471936,None,None,None,None,1,1214919835,15,None,None,None,None,None,None,None,4.343446184608419,d41d8cd98f00b204e9800998ecf8427e,2455552,0,1,None,None,None,None,None,None,None,None,None,None,4096,None,None,None,3,None,0,10,None,None,None,None,None,None,2906960,512,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,4,0,0,16,4096,4096,4096,1048576,2928640,4096,1048576,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9ecb6eebfd45314baec52220e635040b,55526c8b0413536ffe7f7e59c3578a80c75dbc9a,95e9e8edee4f1ebeec661aa2fdfdc9233596dcc4eab8e73fae0ac76eb1400e78,LEUpdater.exe,None,None,196608,None,None,None,None,1,1629916782,1,100864,4.595255389281212,None,None,None,None,0.10191042566270775,4.330983132745793,ad6576e622c01f3b5816c7ff3a8d2148,94720,0,1,None,None,None,None,None,None,None,None,None,None,512,None,None,None,3,None,199662,1,None,None,None,None,None,None,108694,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,4,0,1,16,8192,512,4096,1048576,221184,4096,1048576,normal
0,1,0,4,2,4,1,0,0,4,0,3,1,0,2,1,0,0,0,35956356b20f6d37c4fdcaf0d75804f0,18cfd77094a85ba4dd930cdcfc36fd0cbc01c446,51312177a9c81ae610e7b73a8d3330c54c130baf901516351d250357d0c3ff6d,DeskRest_n.exe,None,None,6227712,None,None,None,None,1,1718030831,146,677888,6.377190161826806,14848,4.95916338709992,0,1.3892750148744617,None,2.858559724734104,b889d302f6fc48a904de33d8d947ae80,7168,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,10,None,6269131,5,None,None,None,None,None,None,689084,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6,1,0,16,4096,1024,4096,1048576,946176,16384,1048576,normal
0,2,0,2,3,2,0,0,1,2,0,0,0,0,0,0,4,0,0,8b7e398b3dbcb074ef8d2c4063e513fd,6a36b30db93c69a3c6a746e301a6b3e233e0c316,6ac9eb0081c3d83699eed76928edae4c7e72c52f6003c14af8dc490ab21ef13a,RtkBtManServ.exe,None,None,231280,None,None,None,None,1,1726212820,130,127488,6.5051774392435195,3584,2.4839867726790756,None,4.955037760597486,5.352399810355077,3.7938747457079596,94bd5987061a6d772220060039a32bbf,57856,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,7,None,281762,6,None,None,None,None,None,None,26744,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6,0,9,16,4096,1024,4096,1048576,229376,4096,1048576,normal
0,5,3,6,4,4,3,0,2,4,0,4,2,3,2,3,0,0,0,64bc2834508162a3a9e2e592799be76b,249fc2c01b652b0d6b9fbeb11824b7decc4c86b2,2023560f31db742b1c6d740b013b9c8b2ec343055139ab4f00246119ceef9331,CapCut_7543139969125449789_installer.exe,None,None,715566048,None,None,None,None,1,2154496,355,692224,6.630456397712947,16384,4.740797608488343,None,4.798265202197132,6.595812602619208,6.877987961338841,58d12b902658df803036fd711b15a7ed,141312,0,1,None,None,None,None,None,None,None,None,None,None,1024,None,None,None,6,None,715624180,12,None,None,None,None,None,None,462344,512,None,None,0,256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6,0,205,16,4096,1024,4096,1048576,2187264,4096,1048576,normal
